id,dim,nb_sample,method,lower_bound,upper_bound,version,filename
0,200,16384,sobol,-2,2,0,a2bbf3b0ba17420ca678526012b3f326.npy
1,200,16384,sobol,-2,2,1,4e626f2364ef4e47a124b5f3b4b1d1b9.npy
2,200,16384,sobol,-2,2,2,dcb389a0f5684a26bace914148baaee5.npy
3,200,16384,sobol,-2,2,3,af44c2f464ce4c84a62ec3fd6742ffcd.npy
4,200,16384,sobol,-2,2,4,b276fb1bfdcc45b3b8f12fa80e0aa52e.npy
5,200,16384,sobol,-2,2,5,ea5e15b337344a6693390c76b1e709ed.npy
6,200,16384,sobol,-2,2,6,a7bbac93f23645a9bc1e4a79ff88b34d.npy
7,200,16384,sobol,-2,2,7,46075c1a933442e9a24ea1f1ee46e904.npy
8,200,16384,sobol,-2,2,8,e051dd71e7d84edc99a3f46267e5735c.npy
9,200,16384,sobol,-2,2,9,956d90b61ee74af3a8c0cb4e7521b92d.npy
10,320,16384,sobol,-2,2,0,6b237687e9fb457994d599370d9a8df3.npy
11,320,16384,sobol,-2,2,1,ad54dd6b745e4a09ab248ec1845d3951.npy
12,320,16384,sobol,-2,2,2,fac6e71215344070845ae82e359cf9e1.npy
13,320,16384,sobol,-2,2,3,50020086a51c438193f0dbc1c040b9b3.npy
14,320,16384,sobol,-2,2,4,a0faac72c08d425daa66a062370d1651.npy
15,320,16384,sobol,-2,2,5,d7c535a9b4a44fb3b5e4af73c57fa52b.npy
16,320,16384,sobol,-2,2,6,80615f03edcf4d3cbf6ac16fb6711501.npy
17,320,16384,sobol,-2,2,7,9e510d5c45814d43b62e2af57f133c32.npy
18,320,16384,sobol,-2,2,8,8655226301354872a7db5428c6248c8a.npy
19,320,16384,sobol,-2,2,9,169444a87e2d4fc29c35490b41a94583.npy
20,480,32768,sobol,-2,2,0,2660fe6aabb04d35b9c6b532d0a2a72e.npy
21,480,32768,sobol,-2,2,1,ba318eb3f9da4c068abd97ecaac98121.npy
22,480,32768,sobol,-2,2,2,bda2a291c72d40ce86d29188f57d0340.npy
23,480,32768,sobol,-2,2,3,efb751bd07334b4b96371c3368df3bcd.npy
24,480,32768,sobol,-2,2,4,6d1e167fd3cc4774acfa42f5fe3cdfc4.npy
25,480,32768,sobol,-2,2,5,b1a85d3d8dc34cac95294684c24148dd.npy
26,480,32768,sobol,-2,2,6,7cd636c82e5e4e66bf49269d3de62bb3.npy
27,480,32768,sobol,-2,2,7,d22a56057dd54d5a9dad453670508b9a.npy
28,480,32768,sobol,-2,2,8,f1b0cebed66f4ac7bcfb6396653fc140.npy
29,480,32768,sobol,-2,2,9,7462e2367bd54d779cae251b15d9cb50.npy
